timestamp,label,ax,ay,az,gx,gy,gz
0,walkingToRunning,11.07351337335045,-8.822451591491712,8.723763808225971,2.507965326309204,-1.207876682281494,-0.117179088294506
100,walkingToRunning,-6.617044766743767,-15.88023630777987,1.012019475301188,2.775879383087158,0.4560663402080536,-3.230947017669678
200,walkingToRunning,-7.635519687946026,-18.38242384103629,0.5948975636408882,-4.410394668579102,-2.1458420753479,3.183542728424072
300,walkingToRunning,0.1623861147807066,-15.61743222750152,4.859490278439631,-9.461345672607422,-0.3476756811141968,-1.77153480052948
400,walkingToRunning,0.9302963354648797,-20.09044109246662,1.521517215631012,4.659799575805664,-6.243381977081299,4.145476818084717
500,walkingToRunning,-4.052205452552209,-14.53474587660569,-2.418212413787842,5.911485195159912,-5.193030834197998,-2.483131408691406
600,walkingToRunning,2.160747870420703,-24.96625883151304,10.49817096881367,6.684867382049561,1.198555707931519,-3.609648704528809
700,walkingToRunning,6.138350657927912,-32.41269713181765,14.23503029652156,-4.627175807952881,-0.195342868566513,0.624777615070343
800,walkingToRunning,-15.39763318575346,5.494241421039289,-8.343922321613018,-9.324992179870604,-3.418833017349243,5.905293464660645
900,walkingToRunning,-5.412000925113134,-25.75699911362071,4.715433096274227,5.575394630432129,2.921620845794678,-4.826180458068848
1000,walkingToRunning,21.15553528223293,-46.41439291147124,25.32627902886826,1.813413023948669,-3.170093774795532,2.320146083831787
1100,walkingToRunning,8.443427305955154,-6.558711565457856,7.404815930586595,9.066798210144045,-3.136538028717041,-2.182726860046387
1200,walkingToRunning,-4.885872217324769,-31.15980158096707,27.76006933359021,-0.8497481346130371,-1.040630221366882,0.6231797337532043
1300,walkingToRunning,-78.77275134355642,-23.11676147656572,-27.92389911260377,-3.919307708740233,5.342434406280518,-0.3542004227638244
1400,walkingToRunning,-12.65366554260254,-10.90438747406006,-4.661362171173096,-5.345164299011231,-4.479836463928223,-4.569451808929443
1500,walkingToRunning,-22.23916616195284,-34.61771554213296,-14.66572103744894,2.03605318069458,9.78938102722168,4.588626861572266
1600,walkingToRunning,-15.77826891189972,-10.60313170995487,16.87684127611968,2.462691783905029,-5.472662925720215,-4.150803089141846
1700,walkingToRunning,-6.422582626342773,6.271077669583836,7.463147786947397,5.459280490875244,8.958474159240723,1.000815987586975
1800,walkingToRunning,41.35811057457538,-32.31858268150899,25.98732742896437,-2.474276542663574,-1.877928018569946,0.2806971967220306
1900,walkingToRunning,-47.48250364645841,-0.8039509210834908,-1.017420401939681,-4.368316650390625,3.423360586166382,0.9661948680877686
